a,b,score
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_FOUR.csv,ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_THREE.csv,0.0056060313164508
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_FOUR.csv,ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SEVEN.csv,0.00693714525961741
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_FOUR.csv,ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SIX.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_FOUR.csv,ALARM_LIST_ALARM_FLOODS_2016-12-06 13_00_00_2016-12-06 17_45_00_TWO.csv,0.00295454545454545
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_FOUR.csv,ALARM_LIST_ALARM_FLOODS_2016-12-07 04_00_00_2016-12-07 08_45_00_ONE.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_THREE.csv,ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SEVEN.csv,0.0732356857523302
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_THREE.csv,ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SIX.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_THREE.csv,ALARM_LIST_ALARM_FLOODS_2016-12-06 13_00_00_2016-12-06 17_45_00_TWO.csv,0.018976897689769
ALARM_LIST_ALARM_FLOODS_2016-12-03 10_00_00_2016-12-03 14_45_00_THREE.csv,ALARM_LIST_ALARM_FLOODS_2016-12-07 04_00_00_2016-12-07 08_45_00_ONE.csv,0.0469613259668508
ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SEVEN.csv,ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SIX.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SEVEN.csv,ALARM_LIST_ALARM_FLOODS_2016-12-06 13_00_00_2016-12-06 17_45_00_TWO.csv,0.132049518569464
ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SEVEN.csv,ALARM_LIST_ALARM_FLOODS_2016-12-07 04_00_00_2016-12-07 08_45_00_ONE.csv,0.0677466863033873
ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SIX.csv,ALARM_LIST_ALARM_FLOODS_2016-12-06 13_00_00_2016-12-06 17_45_00_TWO.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-05 02_00_00_2016-12-05 06_45_00_SIX.csv,ALARM_LIST_ALARM_FLOODS_2016-12-07 04_00_00_2016-12-07 08_45_00_ONE.csv,0
ALARM_LIST_ALARM_FLOODS_2016-12-06 13_00_00_2016-12-06 17_45_00_TWO.csv,ALARM_LIST_ALARM_FLOODS_2016-12-07 04_00_00_2016-12-07 08_45_00_ONE.csv,0.0841121495327103
